,Z_Rejon,Do_Rejon,nPOIsPRT,nPOIsPUT
0,1,6,97,130
1,1,111,88,128
2,1,114,81,128
3,1,117,72,127
4,1,118,77,128
5,1,132,93,130
6,1,133,87,130
7,1,145,98,131
8,1,146,98,131
9,1,157,79,128
10,1,158,85,130
11,1,162,85,130
12,1,177,69,127
13,1,180,82,128
14,1,186,76,128
15,1,343,95,130
16,1,396,87,130
17,1,397,83,130
18,1,400,83,130
19,1,405,84,130
20,1,407,82,130
21,1,415,65,128
22,1,420,90,129
23,1,421,75,128
24,1,422,22,127
25,1,424,63,128
26,1,425,62,127
27,1,426,37,127
28,1,427,42,128
29,1,428,73,128
30,1,429,80,128
31,1,430,80,128
32,1,432,42,128
33,1,434,29,127
34,1,435,25,127
35,1,437,38,128
36,1,453,84,129
37,1,456,27,127
38,1,462,28,127
39,1,470,38,127
40,1,474,28,127
41,1,475,36,127
42,1,540,37,130
43,1,544,14,130
44,1,706,43,128
45,1,708,68,129
46,1,714,30,129
47,1,715,39,129
48,1,716,73,129
49,1,717,66,129
50,1,718,77,130
51,1,719,76,130
52,1,720,80,130
