,Z_Rejon,Do_Rejon,Czas_PrT,Czas_PrT,Czas_PrT,time_left_PrT,time_left_PrT,time_left_PrT
,,,sum,mean,median,sum,mean,median
0,1,6,5002.197159414438,51.56904288056121,51.73690331222053,1517.660859120492,15.645988238355587,15.478127806696286
1,1,111,4922.163388470335,55.93367486898108,60.65726006420194,992.7593499943432,11.281356249935719,6.55777105471487
2,1,114,4626.3045281924715,57.11487071842557,60.854555504799215,818.1129924397894,10.100160400491227,6.360475614117597
3,1,117,4094.3609557742548,56.86612438575354,61.07944258756399,745.1212847877531,10.348906733163238,6.135588531352823
4,1,118,4481.521479163825,58.20157765147824,61.73690331222053,694.035916992768,9.013453467438545,5.4781278066962855
5,1,132,4881.858629915604,52.49310354747961,52.477647654301975,1369.1392641436585,14.721927571437188,14.737383464614837
6,1,133,4551.583806032725,52.31705524175546,54.27803528548712,1296.123901313036,14.897975877161333,12.936995833429691
7,1,145,4953.762168663047,50.5485935577862,49.06757717241333,1633.3108809908003,16.666437561130614,18.147453946503482
8,1,146,4904.447947911272,50.04538722358441,48.62146103621954,1682.6251017425736,17.169643895332385,18.59357008269727
9,1,157,4363.258994424672,55.23112651170471,57.711159827723435,946.7284639697533,11.983904607212066,9.503871291193377
10,1,158,4618.505111864137,54.33535425722514,56.107407691492966,1094.7725332437903,12.879676861691651,11.107623427423846
11,1,162,4383.554451993021,51.571228846976716,51.73690331222053,1329.7231931149063,15.643802271940073,15.478127806696286
12,1,177,4086.5167106807107,59.22487986493784,61.11721718551154,551.3204365245473,7.990151253978946,6.09781393340527
13,1,180,4663.577815206571,56.87290018544599,59.9624377982031,848.0547365446054,10.342130933470797,7.252593320713711
14,1,186,4348.977196158286,57.22338415997744,58.08553803206915,759.3651688793891,9.99164695893933,9.12949308684766
15,1,343,5349.260305426694,56.30800321501783,56.16193889811762,1036.1676508704027,10.907027903898975,11.053092220799194
16,1,396,4693.073919157417,53.94337838111973,57.73690331222053,1154.633788188346,13.27165273779708,9.478127806696286
17,1,397,4470.345603895457,53.8595855891019,56.73690331222053,1108.5019789746366,13.355445529814899,10.478127806696286
18,1,400,4601.64660395993,55.441525348914816,58.655197737425496,977.2009789101651,11.77350577000199,8.559833381491316
19,1,405,4547.866591816063,54.141268950191225,56.73690331222053,1098.1960221729482,13.073762168725574,10.478127806696286
20,1,407,4617.963445184843,56.31662738030297,58.535870673670715,893.6691065663342,10.898403738613831,8.679160445246097
21,1,415,3723.681524810606,57.28740807400932,60.54262938936662,645.2954979189855,9.927623044907468,6.672401729550195
22,1,420,5000.545527289064,55.561616969878486,58.73690331222053,1048.8072734134485,11.653414149038316,8.478127806696286
23,1,421,4384.487874172175,58.45983832229567,63.07618673070907,656.6394597465828,8.755192796621104,4.138844388207744
24,1,422,1252.6499808811116,56.93863549459598,60.570784238146445,226.08070373505825,10.276395624320829,6.644246880770364
25,1,424,3750.6631359959347,59.53433549199897,62.275595305174534,483.88382449582264,7.68069562691782,4.9394358137422785
26,1,425,3635.973632518288,58.64473600835949,62.52264893444119,531.358296854553,8.570295110557307,4.692382184475619
27,1,426,2113.639373239773,57.12538846593981,57.984799604758145,373.3167781601492,10.089642652977005,9.230231514158667
28,1,427,2374.4761571204176,56.53514659810518,57.74468832255236,448.5551498740882,10.679884520811624,9.470342796364445
29,1,428,4272.424242275632,58.52635948322784,63.07618673070907,634.2730294052923,8.688671635688936,4.138844388207744
30,1,429,4597.057480215883,57.46321850269853,61.73690331222053,780.1450092974607,9.751812616218258,5.4781278066962855
31,1,430,4581.057480215883,57.263218502698535,61.73690331222053,796.1450092974607,9.951812616218259,5.4781278066962855
32,1,432,2399.313583148528,57.12651388448876,58.31749130989185,423.7177238459784,10.088517234428057,8.89753980902496
33,1,434,1631.0723479593019,56.24387406756213,56.853723113414745,318.1635544892855,10.971157051354673,10.361308005502067
34,1,435,1429.9779247921122,57.199116991684484,60.129979353293315,250.39785318080826,10.01591412723233,7.085051765623497
35,1,437,2111.265868826319,55.559628127008395,59.43228420532371,442.9053136925198,11.655402991908417,7.782746913593098
36,1,453,4699.358104505933,55.94473933935634,59.73690331222053,946.7045094830781,11.270291779560454,7.4781278066962855
37,1,456,1577.4989153314116,58.425885753015244,60.702286782506654,237.30692487934252,8.789145365901575,6.512744336410158
38,1,462,1688.2135510827375,60.293341110097764,61.605842522846054,193.80732024693341,6.92169000881905,5.609188596070759
39,1,470,2190.7493386609463,57.65129838581438,60.06984517071801,363.42184385789244,9.563732733102432,7.145185948198801
40,1,474,1619.2388388470881,57.829958530253144,58.78831131979221,262.7820324825826,9.385072588663665,8.426719799124605
41,1,475,2119.7230964240753,58.88119712289098,59.54423730779617,300.0180238569303,8.333833996025842,7.670793811120639
42,1,540,2410.3768270221362,65.14531964924693,66.91998018181123,76.57932437778466,2.0697114696698558,0.29505093710558583
43,1,544,906.583963850166,64.755997417869,66.07739511968535,34.426471814669235,2.4590337010478023,1.1376359992314633
44,1,706,2314.3511972222223,53.822120865633075,53.398923364538625,575.8951408912004,13.39291025328373,13.816107754378187
45,1,708,3951.9829247115877,58.117395951640994,60.25263981223821,618.6391913747541,9.097635167275795,6.9623913066786045
46,1,714,1670.826766879347,55.694225562644895,57.83269214390245,345.6241666881575,11.520805556271917,9.382338975014367
47,1,715,2217.397372401175,56.85634288208141,57.63060333288092,403.9888412365804,10.358688236835395,9.584427786035889
48,1,716,4152.958001705291,56.88983563979851,59.46459514602967,753.7392699756341,10.325195479118275,7.750435972887139
49,1,717,3825.4738781019423,57.961725425787,59.1181884880487,610.7181757465655,9.25330569312978,8.096842630868114
50,1,718,4395.759157998707,57.08778127271049,60.395040510393144,779.7982381578855,10.127249846206306,6.819990608523668
51,1,719,4353.379476713898,57.281308904130235,60.02082564067078,754.9628883237776,9.933722214786547,7.19420547824603
52,1,720,4420.323281669491,55.254041020868634,57.51367669004428,956.8792078438523,11.960990098048153,9.701354428872538
